user_id,age,workclass,salary,education_rank,marital-status,occupation,race,sex,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year,great_customer_class
1004889,14.0,private,70773.0,9,Never-married,sales,not_caucasian,Male,0.0,0.0,40,399.0,,0
1012811,25.0,private,76597.0,9,Divorced,sales,caucasian,Female,0.0,0.0,30,256.0,,0
1006870,21.0,private,47947.25,10,Never-married,clerical,caucasian,Female,0.0,0.0,10,442.0,276.0,0
1022149,23.0,private,41740.25,7,Divorced,sales,caucasian,Female,0.0,0.0,20,,,0
1029558,26.0,private,,9,Married,sales,not_caucasian,Male,,0.0,36,,120.0,0
1022394,26.0,private,59060.5,15,Never-married,professional,caucasian,Female,0.0,0.0,30,177.0,377.0,0
1026358,58.0,private,56400.75,5,Divorced,farm,not_caucasian,Male,0.0,0.0,40,11.0,98.0,0
1026126,23.0,private,11329.25,10,Divorced,sales,caucasian,Female,0.0,0.0,40,29.0,276.0,0
1011738,14.0,private,21850.5,10,Never-married,craft,caucasian,Male,0.0,0.0,40,375.0,,0
1024034,33.0,private,55331.0,9,Never-married,factory,not_caucasian,Female,0.0,0.0,40,375.0,77.0,0
1039999,40.0,private,70919.0,10,Divorced,craft,caucasian,Male,,0.0,40,309.0,,0
1041701,18.0,private,15245.25,10,Never-married,sales,caucasian,Female,2176.0,0.0,35,,159.0,0
1020916,18.0,private,44170.75,12,Never-married,professional,caucasian,Male,0.0,0.0,40,481.0,,0
1048161,59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0,0
1019087,47.0,government,47096.5,14,Divorced,professional,caucasian,Male,0.0,0.0,38,39.0,312.0,0
1017739,76.0,,52863.25,9,Widowed,,not_caucasian,Female,0.0,,2,305.0,228.0,0
1033665,35.0,private,80048.0,2,Married,service,caucasian,Female,0.0,0.0,40,,,0
1036508,40.0,,16386.25,14,Divorced,,caucasian,Female,0.0,0.0,55,,177.0,0
1024759,30.0,government,,14,Married,professional,not_caucasian,Male,0.0,0.0,10,208.0,37.0,0
1041378,47.0,government,35977.5,13,Divorced,executive,caucasian,Male,0.0,,40,37.0,,0
1012715,67.0,government,41921.75,9,Married,executive,caucasian,Male,3456.0,0.0,35,446.0,41.0,0
1032084,20.0,private,37776.25,12,Never-married,sales,caucasian,Female,0.0,0.0,25,152.0,436.0,0
1040534,44.0,private,17187.0,10,Married,sales,caucasian,Male,0.0,0.0,48,,274.0,0
1015941,19.0,private,28195.0,10,Never-married,sales,caucasian,Female,0.0,0.0,20,,130.0,0
1017078,25.0,private,79172.0,9,Never-married,factory,not_caucasian,Male,0.0,0.0,40,242.0,457.0,0
1031332,35.0,private,70241.5,10,Married,sales,caucasian,Male,0.0,0.0,40,,185.0,0
1022771,51.0,private,34713.0,9,Married,craft,caucasian,Male,0.0,0.0,40,,183.0,0
1025552,21.0,private,18148.25,9,Never-married,service,caucasian,Male,0.0,0.0,40,245.0,462.0,0
1040097,32.0,private,19121.75,9,Married,clerical,caucasian,Male,0.0,0.0,45,,,0
1016721,29.0,private,90856.25,13,Never-married,professional,caucasian,Male,0.0,0.0,40,405.0,386.0,0
1027323,50.0,private,84401.5,9,Married,factory,caucasian,Male,,1485.0,40,,490.0,0
1046808,30.0,private,26223.0,13,Married,tech,caucasian,Male,0.0,0.0,40,,,0
1026913,41.0,government,49389.5,13,Divorced,executive,caucasian,Male,0.0,0.0,40,341.0,14.0,0
1021657,33.0,private,21687.5,11,Married,craft,caucasian,Male,0.0,0.0,99,78.0,,0
1047993,24.0,private,70240.0,9,Married,factory,caucasian,Female,0.0,0.0,24,45.0,247.0,0
1022127,33.0,private,27749.5,9,Never-married,service,not_caucasian,Female,0.0,0.0,36,,353.0,0
1018692,36.0,government,79743.0,10,Divorced,clerical,caucasian,Female,0.0,0.0,65,,222.0,0
1013482,33.0,private,44670.75,10,Married,factory,caucasian,Male,5013.0,0.0,40,368.0,66.0,0
1029653,25.0,private,63962.25,9,Never-married,clerical,caucasian,Female,0.0,0.0,40,,363.0,0
1041196,46.0,private,18723.75,12,Married,craft,caucasian,Male,0.0,1485.0,55,,191.0,0
1027830,14.0,private,49160.75,10,Never-married,service,caucasian,Male,0.0,0.0,20,478.0,,0
1030514,40.0,private,19493.75,10,Married,executive,caucasian,Male,0.0,0.0,40,,322.0,0
1046854,24.0,private,28141.0,9,Married,trucker,caucasian,Male,0.0,0.0,45,120.0,,0
1040473,34.0,private,9302.5,9,Never-married,clerical,caucasian,Male,0.0,0.0,50,,50.0,0
1028553,41.0,private,49479.75,9,Married,clerical,caucasian,Female,0.0,0.0,60,497.0,200.0,0
1034360,22.0,private,57188.0,9,Never-married,cleaner,caucasian,Male,0.0,,40,179.0,438.0,0
1018348,,private,24709.25,9,Widowed,clerical,caucasian,Female,0.0,0.0,40,381.0,,0
1012810,33.0,government,86018.25,13,Never-married,lawenf,caucasian,Male,0.0,1408.0,50,,100.0,0
1047244,34.0,private,57101.5,10,Never-married,clerical,not_caucasian,Female,0.0,0.0,40,168.0,496.0,0
1032061,23.0,government,62086.5,12,Married,craft,caucasian,Male,0.0,0.0,50,,,0
1017640,23.0,private,45455.0,10,Never-married,factory,caucasian,Male,0.0,0.0,40,61.0,207.0,0
1032666,25.0,private,48068.25,13,Married,professional,caucasian,Male,0.0,0.0,40,372.0,196.0,0
1033423,29.0,private,51312.25,14,Married,executive,not_caucasian,Male,0.0,0.0,40,72.0,235.0,0
1006963,24.0,private,64282.0,9,Divorced,craft,caucasian,Male,0.0,0.0,40,,,0
1020488,64.0,private,80291.5,13,Divorced,sales,caucasian,Female,0.0,0.0,5,355.0,167.0,0
1034842,,private,38938.0,10,Married,factory,not_caucasian,Male,0.0,0.0,40,52.0,62.0,0
1004985,59.0,government,42605.75,9,Married,service,caucasian,Male,0.0,0.0,40,411.0,320.0,0
1041698,21.0,,10013.0,10,Never-married,,caucasian,Male,0.0,2001.0,45,,369.0,0
