,Date,TotalBikesCount,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,DayLightHrs,AvgTempInC,PRCP_IN,DryDay,YearsCount
0,2012-10-03,3521.0,0,0,1,0,0,0,0,0,11.27735923649675,5.6,0.0,1,0.0
1,2012-10-04,3475.0,0,0,0,1,0,0,0,0,11.219141593709272,5.65,0.0,1,0.0027397260273972603
2,2012-10-05,3148.0,0,0,0,0,1,0,0,0,11.161037510141552,5.949999999999999,0.0,1,0.005479452054794521
3,2012-10-06,2006.0,0,0,0,0,0,1,0,0,11.103056478579873,6.05,0.0,1,0.00821917808219178
4,2012-10-07,2142.0,0,0,0,0,0,0,1,0,11.045208198323877,6.05,0.0,1,0.010958904109589041
5,2012-10-08,3537.0,1,0,0,0,0,0,0,1,10.987502588667528,5.8,0.0,1,0.0136986301369863
6,2012-10-09,3501.0,0,1,0,0,0,0,0,0,10.92994980215941,5.449999999999999,0.0,1,0.01643835616438356
7,2012-10-10,3235.0,0,0,1,0,0,0,0,0,10.872560237618186,5.050000000000001,0.0,1,0.019178082191780823
8,2012-10-11,3047.0,0,0,0,1,0,0,0,0,10.81534455287898,5.1,0.0,1,0.021917808219178082
9,2012-10-12,2011.0,0,0,0,0,1,0,0,0,10.758313677241961,5.25,0.00031496062992125983,0,0.024657534246575342
10,2012-10-13,766.0,0,0,0,0,0,1,0,0,10.70147882359555,5.7,0.0007480314960629921,0,0.0273972602739726
11,2012-10-14,698.0,0,0,0,0,0,0,1,0,10.64485150018159,6.0,0.002559055118110236,0,0.030136986301369864
12,2012-10-15,2273.0,1,0,0,0,0,0,0,0,10.588443521970554,5.75,0.001220472440944882,0,0.03287671232876712
13,2012-10-16,3036.0,0,1,0,0,0,0,0,0,10.53226702161101,5.4,0.0,1,0.03561643835616438
14,2012-10-17,3243.0,0,0,1,0,0,0,0,0,10.476334459915442,5.05,0.0,1,0.038356164383561646
15,2012-10-18,2923.0,0,0,0,1,0,0,0,0,10.420658635843873,5.4,0.003228346456692913,0,0.0410958904109589
16,2012-10-19,1977.0,0,0,0,0,1,0,0,0,10.365252695942027,5.4,0.0007480314960629921,0,0.043835616438356165
17,2012-10-20,1068.0,0,0,0,0,0,1,0,0,10.310130143190996,4.75,7.874015748031496e-05,0,0.04657534246575343
18,2012-10-21,989.0,0,0,0,0,0,0,1,0,10.255304845221401,4.65,0.000984251968503937,0,0.049315068493150684
19,2012-10-22,2129.0,1,0,0,0,0,0,0,0,10.200791041843253,4.199999999999999,0.0013779527559055118,0,0.052054794520547946
20,2012-10-23,2500.0,0,1,0,0,0,0,0,0,10.146603351840627,4.7,0.0,1,0.0547945205479452
21,2012-10-24,2429.0,0,0,1,0,0,0,0,0,10.092756778978623,4.8,0.0011023622047244095,0,0.057534246575342465
22,2012-10-25,2713.0,0,0,0,1,0,0,0,0,10.039266717165974,4.85,0.0,1,0.06027397260273973
23,2012-10-26,2073.0,0,0,0,0,1,0,0,0,9.986148954718034,4.85,0.00023622047244094488,0,0.06301369863013699
24,2012-10-27,531.0,0,0,0,0,0,1,0,0,9.933419677659106,5.35,0.0035826771653543307,0,0.06575342465753424
25,2012-10-28,1062.0,0,0,0,0,0,0,1,0,9.881095472004354,5.4,0.0009448818897637795,0,0.0684931506849315
26,2012-10-29,2217.0,1,0,0,0,0,0,0,0,9.829193324959157,5.5,0.0016929133858267717,0,0.07123287671232877
27,2012-10-30,1735.0,0,1,0,0,0,0,0,0,9.77773062497099,5.65,0.005354330708661418,0,0.07397260273972603
28,2012-10-31,1710.0,0,0,1,0,0,0,0,0,9.726725160571108,5.6,0.002244094488188976,0,0.07671232876712329
29,2012-11-01,2091.0,0,0,0,1,0,0,0,0,9.676195117938608,5.5,0.0014960629921259843,0,0.07945205479452055
30,2012-11-02,2478.0,0,0,0,0,1,0,0,0,9.626159077122228,5.5,0.0008661417322834646,0,0.0821917808219178
31,2012-11-03,952.0,0,0,0,0,0,1,0,0,9.57663600685421,5.6,7.874015748031496e-05,0,0.08493150684931507
32,2012-11-04,1011.0,0,0,0,0,0,0,1,0,9.527645257889915,5.95,0.0012598425196850393,0,0.08767123287671233
33,2012-11-05,2810.0,1,0,0,0,0,0,0,0,9.479206554809723,5.25,0.00011811023622047244,0,0.09041095890410959
34,2012-11-06,2493.0,0,1,0,0,0,0,0,0,9.431339986219832,4.95,3.937007874015748e-05,0,0.09315068493150686
35,2012-11-07,2719.0,0,0,1,0,0,0,0,0,9.38406599329054,4.65,0.0,1,0.0958904109589041
36,2012-11-08,2691.0,0,0,0,1,0,0,0,0,9.3374053565747,4.2,0.0,1,0.09863013698630137
37,2012-11-09,2406.0,0,0,0,0,1,0,0,0,9.29137918105015,4.1,0.0,1,0.10136986301369863
38,2012-11-10,1269.0,0,0,0,0,0,1,0,0,9.24600887933607,3.8499999999999996,0.0,1,0.10410958904109589
39,2012-11-11,628.0,0,0,0,0,0,0,1,0,9.201316153036755,4.1,0.002362204724409449,0,0.10684931506849316
40,2012-11-12,1631.0,1,0,0,0,0,0,0,1,9.157322972171778,4.9,0.0005511811023622047,0,0.1095890410958904
41,2012-11-13,2087.0,0,1,0,0,0,0,0,0,9.114051552659358,4.9,0.000826771653543307,0,0.11232876712328767
42,2012-11-14,2600.0,0,0,1,0,0,0,0,0,9.071524331824882,4.65,0.00011811023622047244,0,0.11506849315068493
43,2012-11-15,2520.0,0,0,0,1,0,0,0,0,9.02976394191711,4.300000000000001,0.0,1,0.1178082191780822
44,2012-11-16,2006.0,0,0,0,0,1,0,0,0,8.988793181621284,4.25,0.0008661417322834646,0,0.12054794520547946
45,2012-11-17,640.0,0,0,0,0,0,1,0,0,8.94863498557045,4.85,0.0009448818897637795,0,0.1232876712328767
46,2012-11-18,392.0,0,0,0,0,0,0,1,0,8.909312391865862,4.65,0.001220472440944882,0,0.12602739726027398
47,2012-11-19,967.0,1,0,0,0,0,0,0,0,8.870848507629203,5.15,0.008385826771653542,0,0.12876712328767123
48,2012-11-20,1741.0,0,1,0,0,0,0,0,0,8.833266472622975,4.85,0.0005905511811023622,0,0.13150684931506848
49,2012-11-21,1370.0,0,0,1,0,0,0,0,0,8.79658942098724,4.3,0.0017322834645669292,0,0.13424657534246576
50,2012-11-22,554.0,0,0,0,1,0,0,0,1,8.760840441156533,4.25,0.0,1,0.136986301369863
51,2012-11-23,355.0,0,0,0,0,1,0,0,0,8.72604253403466,4.6,0.004960629921259843,0,0.13972602739726028
52,2012-11-24,845.0,0,0,0,0,0,1,0,0,8.692218569520314,4.35,0.0,1,0.14246575342465753
53,2012-11-25,1018.0,0,0,0,0,0,0,1,0,8.659391241493369,4.05,0.0,1,0.14520547945205478
54,2012-11-26,2358.0,1,0,0,0,0,0,0,0,8.627583021386046,4.2,0.0,1,0.14794520547945206
55,2012-11-27,2547.0,0,1,0,0,0,0,0,0,8.596816110481127,4.25,0.0,1,0.1506849315068493
56,2012-11-28,2034.0,0,0,1,0,0,0,0,0,8.567112391094424,4.25,0.0004330708661417323,0,0.15342465753424658
57,2012-11-29,1844.0,0,0,0,1,0,0,0,0,8.538493376814946,5.05,0.00023622047244094488,0,0.15616438356164383
58,2012-11-30,1590.0,0,0,0,0,1,0,0,0,8.51098016199257,5.25,0.005511811023622047,0,0.1589041095890411
59,2012-12-01,634.0,0,0,0,0,0,1,0,0,8.4845933706766,5.15,0.0006299212598425197,0,0.16164383561643836
60,2012-12-02,527.0,0,0,0,0,0,0,1,0,8.459353105224467,4.6,0.003031496062992126,0,0.1643835616438356
61,2012-12-03,1868.0,1,0,0,0,0,0,0,0,8.435278894811189,4.7,0.0020078740157480316,0,0.16712328767123288
62,2012-12-04,2011.0,0,1,0,0,0,0,0,0,8.412389644083493,4.9,0.002204724409448819,0,0.16986301369863013
63,2012-12-05,2300.0,0,0,1,0,0,0,0,0,8.390703582211902,4.4,0.00023622047244094488,0,0.1726027397260274
